score	address	name	body_bytes	evidence	reviewed	compat_modeled	default_name	product_string_count	business_neighbor_count	callers	callees	example_string	file
316	103d896c	dt_button	2528	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	17	19	0	46	[AUDIO_CTRL] AI button released, no active chat stream or voice memo - no action\n	functions/103d896c_dt_button.c
315	103d809c	dt_audio_event_callback	1580	product_name,product_string,focus_export,semantic_review	1	0	0	16	21	10	25	[AI KEY OPTION], val: %d \n	functions/103d809c_dt_audio_event_callback.c
306	103ccb58	dtiot_ble_bind_on_request_connect_device	1002	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	6	8	1	24	cap_aikey_option	functions/103ccb58_dtiot_ble_bind_on_request_connect_device.c
305	103c8290	dt_wifi_create_ap	318	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	4	10	2	13	dt_wifi_create_ap	functions/103c8290_dt_wifi_create_ap.c
305	103e2fb4	dt_hid_packet_thread_init	468	product_name,product_string,focus_export,semantic_review	1	0	0	6	8	1	22	[DT_HID] Failed to initialize ADB thread	functions/103e2fb4_dt_hid_packet_thread_init.c
302	103cd7c8	dtiot_ble_gray_switch_get_response	964	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	6	7	1	23	 gray switch:  persist.dt.remark %d!\n	functions/103cd7c8_dtiot_ble_gray_switch_get_response.c
291	103d5b58	dt_frame_header_reset	1062	product_name,product_string,focus_export,semantic_review	1	0	0	2	12	2	16	[AUDIO] Voice memo recording mode - file creation skipped\n	functions/103d5b58_dt_frame_header_reset.c
290	103d49b4	dt_audio_start_voice_memo	762	product_name,product_string,focus_export,semantic_review	1	0	0	26	4	1	15	/emmc/audio	functions/103d49b4_dt_audio_start_voice_memo.c
289	103c58f8	dt_dbgserial_init	452	product_name,product_string,focus_export	0	0	0	2	18	1	36	dtiot_hal_os_init failed again!...ignore..\n	functions/103c58f8_dt_dbgserial_init.c
289	103cc950	audio_status	438	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	2	10	1	19	dtiot_ble_bind_on_request_sync_device_status	functions/103cc950_audio_status.c
289	103cf9e8	dtiot_product_info_check	436	product_name,product_string,focus_export,semantic_review	1	0	0	19	4	0	7	dtiot_device, bind_method failed.\n	functions/103cf9e8_dtiot_product_info_check.c
289	103d4d40	dt_audio_stop_voice_memo	426	product_name,product_string,focus_export,semantic_review	1	0	0	7	4	1	10	[VOICE_MEMO] Flushing remaining cache data: %zu bytes\n	functions/103d4d40_dt_audio_stop_voice_memo.c
288	103e95a4	dtiot_hal_os_flash_write	186	product_name,product_string,focus_export,semantic_review	1	0	0	6	4	3	2	%s ERROR: Data too large for DTIOT section (%d > %d)\r\n	functions/103e95a4_dtiot_hal_os_flash_write.c
288	103e968c	dtiot_hal_os_flash_read	192	product_name,product_string,focus_export,semantic_review	1	0	0	6	4	3	2	%s ERROR: Failed to read dtiot data from factory section at offset %d\r\n	functions/103e968c_dtiot_hal_os_flash_read.c
286	103cd098	dtiot_ble_bind_on_request_open_ap	844	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	3	7	1	22	DingTalkA1_%s	functions/103cd098_dtiot_ble_bind_on_request_open_ap.c
285	103d435c	flush_voice_memo_cache_to_file	372	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	5	3	2	5	[VOICE_MEMO] Cache flushed: %zu bytes written, total length: %u, duration: %u seconds\n	functions/103d435c_flush_voice_memo_cache_to_file.c
284	103c3f08	dt_dbgserial	2736	product_name,product_string,focus_export	0	0	0	1	35	1	77	/emmc/audio	functions/103c3f08_dt_dbgserial.c
283	103d9c00	dt_check_remark_switch	68	product_name,product_string,focus_export,semantic_review	1	0	0	5	3	1	3	dt_check_remark_switch	functions/103d9c00_dt_check_remark_switch.c
282	103cb13c	dtiot_ble_bind_auth	782	product_name,product_string,focus_export,semantic_review	1	0	0	3	6	1	19	--------dtiot_sec_state = BLE_BIND_SEC_STATE_AUTH_PASS----------	functions/103cb13c_dtiot_ble_bind_auth.c
282	103ce7b8	dtiot_ble_recv_data	688	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	1	30	0	31	dtiot_ble_recv_data	functions/103ce7b8_dtiot_ble_recv_data.c
281	103e9fc4	dtiot_hal_os_recovery	414	product_name,product_string,focus_export,semantic_review	1	0	0	8	2	3	9	  DTIOT erase: %s\r\n	functions/103e9fc4_dtiot_hal_os_recovery.c
280	103ca120	dtiot_ble_send_response	130	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	1	15	14	4	dtiot_ble_send_response	functions/103ca120_dtiot_ble_send_response.c
280	103ca240	dtiot_ble_bind_connect_did_check	144	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	1	17	16	3	dtiot_ble_bind_connect_did_check	functions/103ca240_dtiot_ble_bind_connect_did_check.c
280	103ca34c	dtiot_ble_send_response_code	156	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	1	32	31	8	dtiot_ble_send_response_code	functions/103ca34c_dtiot_ble_send_response_code.c
280	103d4f38	dt_audio_delete_voice_memo_file	148	product_name,product_string,focus_export,semantic_review	1	0	0	7	2	1	6	/emmc/audio/00000000000000	functions/103d4f38_dt_audio_delete_voice_memo_file.c
280	103e2c64	dt_hid_adb_thread_entry	180	product_name,product_string,focus_export,semantic_review	1	0	0	8	2	0	8	[DT_HID] ADB daemon started	functions/103e2c64_dt_hid_adb_thread_entry.c
279	103cdc30	dtiot_ble_bind_on_schedule_recording	1146	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	2	7	1	24	dtiot_ble_bind_on_schedule_recording	functions/103cdc30_dtiot_ble_bind_on_schedule_recording.c
278	103cc040	dtiot_ble_bind_on_audio_request	930	product_name,product_string,focus_export,semantic_review,compat_trace	1	1	0	3	5	1	11	dtiot_ble_bind_on_audio_request	functions/103cc040_dtiot_ble_bind_on_audio_request.c
277	103cb554	dtiot_ble_bind_get_file_list	408	product_name,product_string,focus_export,semantic_review	1	0	0	2	7	1	10	dtiot_ble_bind_get_file_list	functions/103cb554_dtiot_ble_bind_get_file_list.c
