object	symbol	size	relocations	image_offset	address
hal_iomux_best1700.o	hal_iomux_set_default_iodrv	24	0	0x00005560	0x10195560
hal_iomux_best1700.o	hal_iomux_set_default_iodb	20	0	0x00005578	0x10195578
hal_iomux_best1700.o	hal_iomux_ispi_access_init	16	0	0x0000558c	0x1019558c
hal_iomux_best1700.o	hal_iomux_set_default_config	240	5	0x0000559c	0x1019559c
hal_iomux_best1700.o	hal_iomux_set_flash2_qspi	52	3	0x0000568c	0x1019568c
hal_cmu_best1700.o	hal_cmu_fast_timer_init	24	0	0x000056c2	0x101956c2
hal_cmu_best1700.o	hal_cmu_osc_x2_enable	26	2	0x000056ec	0x101956ec
hal_cmu_best1700.o	hal_cmu_osc_x4_enable	32	0	0x00005708	0x10195708
hal_cmu_best1700.o	hal_cmu_boot_setup_sp_ram	46	7	0x0000574c	0x1019574c
hal_cmu_best1700.o	boot_loader_entry_hook	46	7	0x0000574c	0x1019574c
hal_norflash.o	_norflash_set_source_freq	24	3	0x00006010	0x10196010
hal_norflash.o	hal_norflash_reset_timing	22	4	0x00006028	0x10196028
hal_norflash.o	hal_norflash_clk_to_cmu_freq	60	0	0x00006218	0x10196218
hal_norflash.o	hal_norflash_open	18	1	0x00006548	0x10196548
hal_norflash.o	hal_norflash_suspend_check_irq	16	2	0x000067e0	0x101967e0
hal_norflash.o	hal_norflash_suspend_check_flash_read	16	2	0x000067e0	0x101967e0
hal_norflash.o	hal_norflash_init	36	5	0x000068a8	0x101968a8
hal_iomux_best1700.o	iomux_lock	40	4	0x00008a58	0x10198a58
hal_iomux_best1700.o	iomux_unlock	36	4	0x00008a80	0x10198a80
hal_cmu_best1700.o	addr_remap_cpu_to_dev	42	0	0x000315f0	0x101c15f0
hal_cmu_best1700.o	addr_remap_dev_to_cpu	56	0	0x0003161c	0x101c161c
hal_m55c0_2_bthc0_best1700.o	hal_m55c0_2_bthc0_ipc_notify_open	16	2	0x00062ac0	0x101f2ac0
hal_rmt_ipc_best1700.o	hal_rmt_ipc_get_cfg	52	4	0x000b0764	0x10240764
hal_m55c0_2_m55c1_best1700.o	hal_mcu2cp_irq_init	30	0	0x000b1c6c	0x10241c6c
hal_m55c0_2_m55c1_best1700.o	hal_mcu2cp_peer_tx_irq_set	24	0	0x000b1c8a	0x10241c8a
hal_m55c0_2_m55c1_best1700.o	hal_mcu2cp_rx_irq_resume	24	0	0x000b1ca2	0x10241ca2
hal_m55c0_2_m55c1_best1700.o	hal_mcu2cp_rx_done_id32	24	0	0x000b1cba	0x10241cba
hal_m55c0_2_m55c1_best1700.o	hal_mcu2cp_irq_active	46	0	0x000b1cd2	0x10241cd2
hal_m55c0_2_dspc0_best1700.o	hal_mcu2cp_irq_init	26	0	0x000b1d58	0x10241d58
hal_m55c0_2_dspc0_best1700.o	hal_mcu2cp_peer_tx_irq_set	20	0	0x000b1d72	0x10241d72
hal_m55c0_2_dspc0_best1700.o	hal_mcu2cp_rx_irq_resume	24	0	0x000b1d86	0x10241d86
hal_m55c0_2_dspc0_best1700.o	hal_mcu2cp_rx_done_id32	20	0	0x000b1d9e	0x10241d9e
hal_m55c0_2_dspc0_best1700.o	hal_mcu2cp_irq_active	42	0	0x000b1db2	0x10241db2
hal_m55c0_2_bthc0_best1700.o	hal_sys2bth_irq_init	56	0	0x000b1f76	0x10241f76
hal_m55c0_2_bthc0_best1700.o	hal_sys2bth_peer_tx_irq_set	24	0	0x000b1fae	0x10241fae
hal_m55c0_2_bthc0_best1700.o	hal_sys2bth_rx_irq_resume	20	0	0x000b1fc6	0x10241fc6
hal_m55c0_2_bthc0_best1700.o	hal_sys2bth_irq_active	40	0	0x000b1fda	0x10241fda
hal_m55c0_2_bthc0_best1700.o	hal_sys2bth_rx_irq_suspend	28	0	0x000b203c	0x1024203c
hal_iomux_best1700.o	hal_iomux_set_io_voltage_domains	26	2	0x000b21a8	0x102421a8
hal_iomux_best1700.o	hal_iomux_set_io_pull_select	152	3	0x000b21c4	0x102421c4
hal_iomux_best1700.o	hal_iomux_init	86	7	0x000b225c	0x1024225c
hal_iomux_best1700.o	hal_iomux_set_io_drv	96	1	0x000b22b4	0x102422b4
hal_iomux_best1700.o	hal_iomux_set_sys_uart1	52	3	0x000b2368	0x10242368
hal_iomux_best1700.o	hal_iomux_set_analog_i2c	60	3	0x000b23b0	0x102423b0
hal_iomux_best1700.o	hal_iomux_set_bthc1_jtag	32	3	0x000b23ec	0x102423ec
hal_iomux_best1700.o	hal_iomux_set_bthc0_jtag	32	3	0x000b240c	0x1024240c
hal_iomux_best1700.o	hal_iomux_set_m55c1_jtag	32	3	0x000b242c	0x1024242c
hal_iomux_best1700.o	hal_iomux_set_m55c0_jtag	32	3	0x000b244c	0x1024244c
hal_iomux_best1700.o	hal_iomux_set_btc_jtag	32	3	0x000b246c	0x1024246c
hal_iomux_best1700.o	hal_iomux_set_wf_jtag	32	3	0x000b248c	0x1024248c
hal_iomux_best1700.o	hal_iomux_set_hifi4_jtag	36	3	0x000b24ac	0x102424ac
hal_iomux_best1700.o	hal_iomux_set_shared_jtag	48	3	0x000b24d0	0x102424d0
hal_iomux_best1700.o	hal_iomux_set_dig_mic	120	7	0x000b2540	0x10242540
hal_iomux_best1700.o	hal_iomux_set_sys_spilcd	36	3	0x000b25b8	0x102425b8
hal_iomux_best1700.o	hal_iomux_set_sys_i2c1	32	3	0x000b25f0	0x102425f0
hal_iomux_best1700.o	hal_iomux_set_bt_tport	44	4	0x000b2650	0x10242650
hal_iomux_best1700.o	hal_iomux_set_rgblcd0	124	6	0x000b2714	0x10242714
hal_iomux_best1700.o	hal_iomux_get_uart_rx_pin	24	0	0x000b2790	0x10242790
hal_cmu_best1700.o	hal_cmu_m55c1_wakeup_irq_deregister	24	0	0x000b62dc	0x102462dc
hal_cmu_best1700.o	hal_cmu_hifi4_wakeup_irq_deregister	24	0	0x000b62f4	0x102462f4
hal_cmu_best1700.o	hal_cmu_dsi_clksrc_enable	32	2	0x000b630c	0x1024630c
hal_cmu_best1700.o	hal_cmu_hifi4_wakeup_allow_signal_clear	30	4	0x000b632c	0x1024632c
hal_cmu_best1700.o	hal_cmu_cp_wake_unlock	48	5	0x000b634c	0x1024634c
