offsets	literal	sources
0x0027b21b	           	arch/arm/src/at32/at32_serial.c|arch/arm/src/stm32/stm32_hciuart.c|arch/arm/src/stm32/stm32_serial.c|arch/arm/src/stm32f0l0g0/stm32_serial_v1.c|arch/arm/src/stm32f0l0g0/stm32_serial_v2.c|arch/arm/src/stm32f7/stm32_serial.c|arch/arm/src/stm32h7/stm32_serial.c|arch/arm/src/stm32l4/stm32l4_serial.c|arch/arm/src/stm32l5/stm32l5_serial.c|arch/arm/src/stm32u5/stm32_serial.c|arch/arm/src/stm32wb/stm32wb_serial.c|arch/arm/src/stm32wl5/stm32wl5_serial.c|drivers/net/enc28j60.h|net/procfs/net_statistics.c
0x0027b175	              RST: %04x  %04x	net/procfs/net_statistics.c
0x0026f743	       %s -h	tools/incdir.c
0x0026a1e1	      %s buffer %p hold by %s	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026a1bc	    %s buffer, total %d, pending %d	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026a27a	    ept %s	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026d76c	  %s type %s	fs/mount/fs_procfs_mount.c
0x0026d708	  Block    Number	fs/mount/fs_procfs_mount.c
0x0027b1b9	  Checksum 	net/procfs/net_statistics.c
0x0026d6ae	  Filesystem      Size      Used  Available Mounted on	fs/mount/fs_procfs_mount.c
0x0027b24a	  ICMPv6	net/procfs/net_statistics.c
0x0027b1de	  IPv4        VHL: %04x   Frg: %04x	net/procfs/net_statistics.c
0x0027b1c5	  IPv6        VHL: %04x	net/procfs/net_statistics.c
0x0027b143	  Rexmit   	net/procfs/net_statistics.c
0x0026d71b	  Size     Blocks       Used   Available Mounted on	fs/mount/fs_procfs_mount.c
0x0027b194	  TCP         ACK: %04x   SYN: %04x	net/procfs/net_statistics.c
0x0027b169	  Type     	net/procfs/net_statistics.c
0x0026a286	  rpmsg buffer list:	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026a267	  rpmsg ept list:	drivers/rptun/rptun.c|drivers/rptun/rptun_dump.c
0x0026eb87	 %s %s %s %s	arch/arm/src/armv6-m/arm_cpuinfo.c|arch/arm/src/armv7-r/arm_cpuinfo.c|arch/arm/src/armv8-m/arm_cpuinfo.c|arch/arm/src/armv8-r/arm_cpuinfo.c
0x0026d220	%-12s%.18s	fs/procfs/fs_procfsproc.c
0x0026d2e6	%-12s%ld	fs/procfs/fs_procfsproc.c
0x0026d2b1	%-12s%zu	fs/procfs/fs_procfsproc.c
0x0026d30e	%-12s0x%02x	fs/procfs/fs_procfsproc.c
0x0026e6ee	%.3s %.3s%3d %.2d:%.2d:%.2d %d	libs/libc/time/lib_asctimer.c
0x0026e602	%02d/%02d/%04d	libs/libc/time/lib_strftime.c
0x0026e5f3	%02d:%02d:%02d	libs/libc/time/lib_strftime.c
0x0026e5dd	%02d:%02d:%02d %s	libs/libc/time/lib_strftime.c
0x00253817,0x00253c3a,0x0026435f,0x00275d46	%02x:%02x:%02x:%02x:%02x:%02x	libs/libc/net/lib_etherntoa.c
0x0026e5c9	%04d-%02d-%02d	libs/libc/time/lib_strftime.c
0x0026a389	%04x  %s	libs/libc/misc/lib_dumpvbuffer.c
0x0026cf47	%10d%10d%10d%10d	fs/procfs/fs_procfsiobinfo.c
0x0026cf25	%10s%10s%10s%10s	fs/procfs/fs_procfsiobinfo.c
0x0026e927	%12d%12d	mm/mm_heap/mm_memdump.c|mm/tlsf/mm_tlsf.c
0x0026e91d	%12s%12s	mm/mm_heap/mm_memdump.c|mm/tlsf/mm_tlsf.c
0x0026a643	%12s:%11lu%9lu%9lu%9lu%9lu%9lu	mm/mempool/mempool_procfs.c
0x0026e808	%12zu%*p	mm/mempool/mempool.c|mm/mm_heap/mm_memdump.c|mm/tlsf/mm_tlsf.c
0x0026a60f	%13s%11s%9s%9s%9s%9s%9s	mm/mempool/mempool_procfs.c
0x0026d291	%lu.%09lu,%lu.%09lu	fs/procfs/fs_procfsproc.c
0x0026a37f	%s (%p):	libs/libc/misc/lib_dumpvbuffer.c
0x0026d3f0	%s version %s %s %s	fs/procfs/fs_procfsversion.c
0x0027b431	%s: Error %d	libs/libc/stdio/lib_perror.c
0x0026a393	%u.%u.%u.%u	libs/libc/net/lib_inetaddr.c|libs/libc/net/lib_inetntoa.c|libs/libc/net/lib_inetntop.c
